season	contestant	episode	performance	air_date	mini_challenge
1	BeBe Zahara Benet	1	SAFE	2009-02-02T00:00:00Z	NA
1	Nina Flowers	1	WIN	2009-02-02T00:00:00Z	NA
1	Rebecca Glasscock	1	LOW	2009-02-02T00:00:00Z	NA
1	Shannel	1	SAFE	2009-02-02T00:00:00Z	NA
1	Ongina	1	HIGH	2009-02-02T00:00:00Z	NA
1	Jade	1	SAFE	2009-02-02T00:00:00Z	NA
1	Akashia	1	BTM2	2009-02-02T00:00:00Z	NA
1	Tammie Brown	1	SAFE	2009-02-02T00:00:00Z	NA
1	"Victoria ""Porkchop"" Parker"	1	ELIM	2009-02-02T00:00:00Z	NA
1	BeBe Zahara Benet	2	SAFE	2009-02-09T00:00:00Z	0
1	Nina Flowers	2	HIGH	2009-02-09T00:00:00Z	0
1	Rebecca Glasscock	2	HIGH	2009-02-09T00:00:00Z	0
1	Shannel	2	HIGH	2009-02-09T00:00:00Z	0
1	Ongina	2	WIN	2009-02-09T00:00:00Z	1
1	Jade	2	SAFE	2009-02-09T00:00:00Z	0
1	Akashia	2	BTM2	2009-02-09T00:00:00Z	1
1	Tammie Brown	2	ELIM	2009-02-09T00:00:00Z	0
1	"Victoria ""Porkchop"" Parker"	2	NA	2009-02-09T00:00:00Z	0
1	BeBe Zahara Benet	3	WIN	2009-02-16T00:00:00Z	NA
1	Nina Flowers	3	HIGH	2009-02-16T00:00:00Z	NA
1	Rebecca Glasscock	3	SAFE	2009-02-16T00:00:00Z	NA
1	Shannel	3	BTM2	2009-02-16T00:00:00Z	NA
1	Ongina	3	HIGH	2009-02-16T00:00:00Z	NA
1	Jade	3	LOW	2009-02-16T00:00:00Z	NA
1	Akashia	3	ELIM	2009-02-16T00:00:00Z	NA
1	Tammie Brown	3	NA	2009-02-16T00:00:00Z	NA
1	"Victoria ""Porkchop"" Parker"	3	NA	2009-02-16T00:00:00Z	NA
1	BeBe Zahara Benet	4	HIGH	2009-02-23T00:00:00Z	0
1	Nina Flowers	4	HIGH	2009-02-23T00:00:00Z	0
1	Rebecca Glasscock	4	BTM2	2009-02-23T00:00:00Z	0
1	Shannel	4	LOW	2009-02-23T00:00:00Z	0
1	Ongina	4	WIN	2009-02-23T00:00:00Z	0
1	Jade	4	ELIM	2009-02-23T00:00:00Z	1
1	Akashia	4	NA	2009-02-23T00:00:00Z	0
1	Tammie Brown	4	NA	2009-02-23T00:00:00Z	0
1	"Victoria ""Porkchop"" Parker"	4	NA	2009-02-23T00:00:00Z	0
1	BeBe Zahara Benet	5	BTM2	2009-03-02T00:00:00Z	0
1	Nina Flowers	5	LOW	2009-03-02T00:00:00Z	0
1	Rebecca Glasscock	5	WIN	2009-03-02T00:00:00Z	1
1	Shannel	5	HIGH	2009-03-02T00:00:00Z	0
1	Ongina	5	ELIM	2009-03-02T00:00:00Z	0
1	Jade	5	NA	2009-03-02T00:00:00Z	0
1	Akashia	5	NA	2009-03-02T00:00:00Z	0
1	Tammie Brown	5	NA	2009-03-02T00:00:00Z	0
1	"Victoria ""Porkchop"" Parker"	5	NA	2009-03-02T00:00:00Z	0
1	BeBe Zahara Benet	6	WIN	2009-03-09T00:00:00Z	0
1	Nina Flowers	6	HIGH	2009-03-09T00:00:00Z	1
1	Rebecca Glasscock	6	BTM2	2009-03-09T00:00:00Z	0
1	Shannel	6	ELIM	2009-03-09T00:00:00Z	0
1	Ongina	6	NA	2009-03-09T00:00:00Z	0
1	Jade	6	NA	2009-03-09T00:00:00Z	0
1	Akashia	6	NA	2009-03-09T00:00:00Z	0
1	Tammie Brown	6	NA	2009-03-09T00:00:00Z	0
1	"Victoria ""Porkchop"" Parker"	6	NA	2009-03-09T00:00:00Z	0
2	Tyra Sanchez	1	HIGH	2010-02-01T00:00:00Z	0
2	Raven	1	SAFE	2010-02-01T00:00:00Z	1
2	Jujubee	1	SAFE	2010-02-01T00:00:00Z	0
2	Tatianna	1	SAFE	2010-02-01T00:00:00Z	0
2	Pandora Boxx	1	HIGH	2010-02-01T00:00:00Z	0
2	Jessica Wild	1	SAFE	2010-02-01T00:00:00Z	0
2	Sahara Davenport	1	BTM2	2010-02-01T00:00:00Z	0
2	Morgan McMichaels	1	WIN	2010-02-01T00:00:00Z	0
2	Sonique	1	SAFE	2010-02-01T00:00:00Z	0
2	Mystique Summers Madison	1	LOW	2010-02-01T00:00:00Z	0
2	Nicole Paige Brooks	1	SAFE	2010-02-01T00:00:00Z	0
2	Shangela Laquifa Wadley	1	ELIM	2010-02-01T00:00:00Z	0
2	Tyra Sanchez	2	HIGH	2010-02-08T00:00:00Z	0
2	Raven	2	BTM2	2010-02-08T00:00:00Z	0
2	Jujubee	2	HIGH	2010-02-08T00:00:00Z	0
2	Tatianna	2	SAFE	2010-02-08T00:00:00Z	0
2	Pandora Boxx	2	SAFE	2010-02-08T00:00:00Z	0
2	Jessica Wild	2	HIGH	2010-02-08T00:00:00Z	0
2	Sahara Davenport	2	WIN	2010-02-08T00:00:00Z	0
2	Morgan McMichaels	2	SAFE	2010-02-08T00:00:00Z	0
2	Sonique	2	LOW	2010-02-08T00:00:00Z	0
2	Mystique Summers Madison	2	HIGH	2010-02-08T00:00:00Z	0
2	Nicole Paige Brooks	2	ELIM	2010-02-08T00:00:00Z	0
